object_type,table,object_name,source,action,complexity,dependency,notes
measure,Employee,AVG Tenure Days,DAX,LOOKML_MEASURE,SIMPLE,,full DAX preserved in 02_dax_objects.json
measure,Employee,AVG Tenure Months,DAX,LOOKML_MEASURE,SIMPLE,,full DAX preserved in 02_dax_objects.json
measure,Employee,AVG Age,DAX,LOOKML_MEASURE,SIMPLE,,full DAX preserved in 02_dax_objects.json
measure,Employee,Sum of BadHires,DAX,LOOKML_MEASURE,SIMPLE,,full DAX preserved in 02_dax_objects.json
measure,Employee,New Hires SPLY,DAX,LOOKML_TODO_COMPLEX,COMPLEX,Date table / time intelligence,full DAX preserved in 02_dax_objects.json
measure,Employee,Actives SPLY,DAX,LOOKML_TODO_COMPLEX,COMPLEX,Date table / time intelligence,full DAX preserved in 02_dax_objects.json
measure,Employee,Seps SPLY,DAX,LOOKML_TODO_COMPLEX,COMPLEX,Date table / time intelligence,full DAX preserved in 02_dax_objects.json
measure,Employee,EmpCount SPLY,DAX,LOOKML_TODO_COMPLEX,COMPLEX,Date table / time intelligence,full DAX preserved in 02_dax_objects.json
measure,Employee,Seps YoY Var,DAX,LOOKML_MEASURE,SIMPLE,,full DAX preserved in 02_dax_objects.json
measure,Employee,Actives YoY Var,DAX,LOOKML_MEASURE,SIMPLE,,full DAX preserved in 02_dax_objects.json
measure,Employee,New Hires YoY Var,DAX,LOOKML_MEASURE,SIMPLE,,full DAX preserved in 02_dax_objects.json
measure,Employee,Seps YoY % Change,DAX,LOOKML_MEASURE,SIMPLE,,full DAX preserved in 02_dax_objects.json
measure,Employee,Actives YoY % Change,DAX,LOOKML_MEASURE,SIMPLE,,full DAX preserved in 02_dax_objects.json
measure,Employee,New Hires YoY % Change,DAX,LOOKML_MEASURE,SIMPLE,,full DAX preserved in 02_dax_objects.json
measure,Employee,Bad Hires SPLY,DAX,LOOKML_TODO_COMPLEX,COMPLEX,Date table / time intelligence,full DAX preserved in 02_dax_objects.json
measure,Employee,Bad Hires YoY Var,DAX,LOOKML_MEASURE,SIMPLE,,full DAX preserved in 02_dax_objects.json
measure,Employee,Bad Hires YoY % Change,DAX,LOOKML_MEASURE,SIMPLE,,full DAX preserved in 02_dax_objects.json
measure,Employee,TO %,DAX,LOOKML_MEASURE,SIMPLE,,full DAX preserved in 02_dax_objects.json
measure,Employee,TO % Norm,DAX,LOOKML_TODO_COMPLEX,MODERATE,ALL() filter context,full DAX preserved in 02_dax_objects.json
measure,Employee,TO % Var,DAX,LOOKML_MEASURE,SIMPLE,,full DAX preserved in 02_dax_objects.json
measure,Employee,Sep%ofActive,DAX,LOOKML_MEASURE,SIMPLE,,full DAX preserved in 02_dax_objects.json
measure,Employee,Sep%ofSMLYActives,DAX,LOOKML_MEASURE,SIMPLE,,full DAX preserved in 02_dax_objects.json
measure,Employee,BadHire%ofActives,DAX,LOOKML_MEASURE,SIMPLE,,full DAX preserved in 02_dax_objects.json
measure,Employee,BadHire%ofActiveSPLY,DAX,LOOKML_MEASURE,SIMPLE,,full DAX preserved in 02_dax_objects.json
measure,BU,Count of BU,DAX,LOOKML_MEASURE,SIMPLE,,full DAX preserved in 02_dax_objects.json
measure,Date,Count of Date,DAX,LOOKML_MEASURE,SIMPLE,,full DAX preserved in 02_dax_objects.json
calculated_column,BU,Region,DAX,WAREHOUSE_SQL,SIMPLE,BU M query,Implement in warehouse SQL or LookML dimension SQL
calculated_column,Date,MonthIncrementNumber,DAX,WAREHOUSE_SQL,MODERATE,Date M query,Implement in warehouse SQL or LookML dimension SQL
calculated_column,Employee,isNewHire,DAX,WAREHOUSE_SQL,SIMPLE,Employee M query,Implement in warehouse SQL or LookML dimension SQL
calculated_column,Employee,AgeGroupID,DAX,WAREHOUSE_SQL,SIMPLE,Employee M query,Implement in warehouse SQL or LookML dimension SQL
calculated_column,Employee,TenureDays,DAX,WAREHOUSE_SQL,SIMPLE,Employee M query,Implement in warehouse SQL or LookML dimension SQL
calculated_column,Employee,TenureMonths,DAX,WAREHOUSE_SQL,SIMPLE,Employee M query,Implement in warehouse SQL or LookML dimension SQL
calculated_column,Employee,BadHires,DAX,WAREHOUSE_SQL,SIMPLE,Employee M query,Implement in warehouse SQL or LookML dimension SQL
calculated_column,DateTableTemplate_92fd358c-bb4c-4d52-9f5b-e9a59dc2315d,Year,DAX,SKIP_PBI_INTERNAL,SIMPLE,,Implement in warehouse SQL or LookML dimension SQL
calculated_column,DateTableTemplate_92fd358c-bb4c-4d52-9f5b-e9a59dc2315d,MonthNo,DAX,SKIP_PBI_INTERNAL,SIMPLE,,Implement in warehouse SQL or LookML dimension SQL
calculated_column,DateTableTemplate_92fd358c-bb4c-4d52-9f5b-e9a59dc2315d,Month,DAX,SKIP_PBI_INTERNAL,SIMPLE,,Implement in warehouse SQL or LookML dimension SQL
calculated_column,DateTableTemplate_92fd358c-bb4c-4d52-9f5b-e9a59dc2315d,QuarterNo,DAX,SKIP_PBI_INTERNAL,SIMPLE,,Implement in warehouse SQL or LookML dimension SQL
calculated_column,DateTableTemplate_92fd358c-bb4c-4d52-9f5b-e9a59dc2315d,Quarter,DAX,SKIP_PBI_INTERNAL,SIMPLE,,Implement in warehouse SQL or LookML dimension SQL
calculated_column,DateTableTemplate_92fd358c-bb4c-4d52-9f5b-e9a59dc2315d,Day,DAX,SKIP_PBI_INTERNAL,SIMPLE,,Implement in warehouse SQL or LookML dimension SQL
calculated_column,LocalDateTable_6f19fed3-1fc0-4f7a-878d-34aca93d6782,Year,DAX,SKIP_PBI_INTERNAL,SIMPLE,,Implement in warehouse SQL or LookML dimension SQL
calculated_column,LocalDateTable_6f19fed3-1fc0-4f7a-878d-34aca93d6782,MonthNo,DAX,SKIP_PBI_INTERNAL,SIMPLE,,Implement in warehouse SQL or LookML dimension SQL
calculated_column,LocalDateTable_6f19fed3-1fc0-4f7a-878d-34aca93d6782,Month,DAX,SKIP_PBI_INTERNAL,SIMPLE,,Implement in warehouse SQL or LookML dimension SQL
calculated_column,LocalDateTable_6f19fed3-1fc0-4f7a-878d-34aca93d6782,QuarterNo,DAX,SKIP_PBI_INTERNAL,SIMPLE,,Implement in warehouse SQL or LookML dimension SQL
calculated_column,LocalDateTable_6f19fed3-1fc0-4f7a-878d-34aca93d6782,Quarter,DAX,SKIP_PBI_INTERNAL,SIMPLE,,Implement in warehouse SQL or LookML dimension SQL
calculated_column,LocalDateTable_6f19fed3-1fc0-4f7a-878d-34aca93d6782,Day,DAX,SKIP_PBI_INTERNAL,SIMPLE,,Implement in warehouse SQL or LookML dimension SQL
calculated_column,LocalDateTable_d2ea5b26-668d-4c17-b228-695669b066a6,Year,DAX,SKIP_PBI_INTERNAL,SIMPLE,,Implement in warehouse SQL or LookML dimension SQL
calculated_column,LocalDateTable_d2ea5b26-668d-4c17-b228-695669b066a6,MonthNo,DAX,SKIP_PBI_INTERNAL,SIMPLE,,Implement in warehouse SQL or LookML dimension SQL
calculated_column,LocalDateTable_d2ea5b26-668d-4c17-b228-695669b066a6,Month,DAX,SKIP_PBI_INTERNAL,SIMPLE,,Implement in warehouse SQL or LookML dimension SQL
calculated_column,LocalDateTable_d2ea5b26-668d-4c17-b228-695669b066a6,QuarterNo,DAX,SKIP_PBI_INTERNAL,SIMPLE,,Implement in warehouse SQL or LookML dimension SQL
calculated_column,LocalDateTable_d2ea5b26-668d-4c17-b228-695669b066a6,Quarter,DAX,SKIP_PBI_INTERNAL,SIMPLE,,Implement in warehouse SQL or LookML dimension SQL
calculated_column,LocalDateTable_d2ea5b26-668d-4c17-b228-695669b066a6,Day,DAX,SKIP_PBI_INTERNAL,SIMPLE,,Implement in warehouse SQL or LookML dimension SQL
calculated_column,LocalDateTable_c9dde99e-7ac1-4e8e-a5f2-c5ffc41d9cac,Year,DAX,SKIP_PBI_INTERNAL,SIMPLE,,Implement in warehouse SQL or LookML dimension SQL
calculated_column,LocalDateTable_c9dde99e-7ac1-4e8e-a5f2-c5ffc41d9cac,MonthNo,DAX,SKIP_PBI_INTERNAL,SIMPLE,,Implement in warehouse SQL or LookML dimension SQL
calculated_column,LocalDateTable_c9dde99e-7ac1-4e8e-a5f2-c5ffc41d9cac,Month,DAX,SKIP_PBI_INTERNAL,SIMPLE,,Implement in warehouse SQL or LookML dimension SQL
calculated_column,LocalDateTable_c9dde99e-7ac1-4e8e-a5f2-c5ffc41d9cac,QuarterNo,DAX,SKIP_PBI_INTERNAL,SIMPLE,,Implement in warehouse SQL or LookML dimension SQL
calculated_column,LocalDateTable_c9dde99e-7ac1-4e8e-a5f2-c5ffc41d9cac,Quarter,DAX,SKIP_PBI_INTERNAL,SIMPLE,,Implement in warehouse SQL or LookML dimension SQL
calculated_column,LocalDateTable_c9dde99e-7ac1-4e8e-a5f2-c5ffc41d9cac,Day,DAX,SKIP_PBI_INTERNAL,SIMPLE,,Implement in warehouse SQL or LookML dimension SQL
calculated_column,LocalDateTable_cc28ef26-f63a-4bc3-b357-93ab34cd6d9b,Year,DAX,SKIP_PBI_INTERNAL,SIMPLE,,Implement in warehouse SQL or LookML dimension SQL
calculated_column,LocalDateTable_cc28ef26-f63a-4bc3-b357-93ab34cd6d9b,MonthNo,DAX,SKIP_PBI_INTERNAL,SIMPLE,,Implement in warehouse SQL or LookML dimension SQL
calculated_column,LocalDateTable_cc28ef26-f63a-4bc3-b357-93ab34cd6d9b,Month,DAX,SKIP_PBI_INTERNAL,SIMPLE,,Implement in warehouse SQL or LookML dimension SQL
calculated_column,LocalDateTable_cc28ef26-f63a-4bc3-b357-93ab34cd6d9b,QuarterNo,DAX,SKIP_PBI_INTERNAL,SIMPLE,,Implement in warehouse SQL or LookML dimension SQL
calculated_column,LocalDateTable_cc28ef26-f63a-4bc3-b357-93ab34cd6d9b,Quarter,DAX,SKIP_PBI_INTERNAL,SIMPLE,,Implement in warehouse SQL or LookML dimension SQL
calculated_column,LocalDateTable_cc28ef26-f63a-4bc3-b357-93ab34cd6d9b,Day,DAX,SKIP_PBI_INTERNAL,SIMPLE,,Implement in warehouse SQL or LookML dimension SQL
calculated_column,LocalDateTable_c04ce649-6e25-466f-9bbc-faabfec0fe29,Year,DAX,SKIP_PBI_INTERNAL,SIMPLE,,Implement in warehouse SQL or LookML dimension SQL
calculated_column,LocalDateTable_c04ce649-6e25-466f-9bbc-faabfec0fe29,MonthNo,DAX,SKIP_PBI_INTERNAL,SIMPLE,,Implement in warehouse SQL or LookML dimension SQL
calculated_column,LocalDateTable_c04ce649-6e25-466f-9bbc-faabfec0fe29,Month,DAX,SKIP_PBI_INTERNAL,SIMPLE,,Implement in warehouse SQL or LookML dimension SQL
calculated_column,LocalDateTable_c04ce649-6e25-466f-9bbc-faabfec0fe29,QuarterNo,DAX,SKIP_PBI_INTERNAL,SIMPLE,,Implement in warehouse SQL or LookML dimension SQL
calculated_column,LocalDateTable_c04ce649-6e25-466f-9bbc-faabfec0fe29,Quarter,DAX,SKIP_PBI_INTERNAL,SIMPLE,,Implement in warehouse SQL or LookML dimension SQL
calculated_column,LocalDateTable_c04ce649-6e25-466f-9bbc-faabfec0fe29,Day,DAX,SKIP_PBI_INTERNAL,SIMPLE,,Implement in warehouse SQL or LookML dimension SQL
calculated_table,DateTableTemplate_92fd358c-bb4c-4d52-9f5b-e9a59dc2315d,DateTableTemplate_92fd358c-bb4c-4d52-9f5b-e9a59dc2315d,DAX,SKIP_PBI_INTERNAL,SIMPLE,,auto date / calculated table
calculated_table,LocalDateTable_6f19fed3-1fc0-4f7a-878d-34aca93d6782,LocalDateTable_6f19fed3-1fc0-4f7a-878d-34aca93d6782,DAX,SKIP_PBI_INTERNAL,MODERATE,,auto date / calculated table
calculated_table,LocalDateTable_d2ea5b26-668d-4c17-b228-695669b066a6,LocalDateTable_d2ea5b26-668d-4c17-b228-695669b066a6,DAX,SKIP_PBI_INTERNAL,MODERATE,,auto date / calculated table
calculated_table,LocalDateTable_c9dde99e-7ac1-4e8e-a5f2-c5ffc41d9cac,LocalDateTable_c9dde99e-7ac1-4e8e-a5f2-c5ffc41d9cac,DAX,SKIP_PBI_INTERNAL,MODERATE,,auto date / calculated table
calculated_table,LocalDateTable_cc28ef26-f63a-4bc3-b357-93ab34cd6d9b,LocalDateTable_cc28ef26-f63a-4bc3-b357-93ab34cd6d9b,DAX,SKIP_PBI_INTERNAL,MODERATE,,auto date / calculated table
calculated_table,LocalDateTable_c04ce649-6e25-466f-9bbc-faabfec0fe29,LocalDateTable_c04ce649-6e25-466f-9bbc-faabfec0fe29,DAX,SKIP_PBI_INTERNAL,MODERATE,,auto date / calculated table
relationship,Employee,Employee.date->Date.Date,Tabular,LOOKML_JOIN,SIMPLE,,cardinality=M:1; cross_filter=Single; active=True
relationship,Employee,Employee.FP->FP.FP,Tabular,LOOKML_JOIN,SIMPLE,,cardinality=M:1; cross_filter=Single; active=True
relationship,Employee,Employee.EthnicGroup->Ethnicity.Ethnic Group,Tabular,LOOKML_JOIN,SIMPLE,,cardinality=M:1; cross_filter=Single; active=True
relationship,Employee,Employee.Gender->Gender.ID,Tabular,LOOKML_JOIN,SIMPLE,,cardinality=M:1; cross_filter=Single; active=True
relationship,Employee,Employee.PayTypeID->PayType.PayTypeID,Tabular,LOOKML_JOIN,SIMPLE,,cardinality=M:1; cross_filter=Single; active=True
relationship,Employee,Employee.BU->BU.BU,Tabular,LOOKML_JOIN,SIMPLE,,cardinality=M:1; cross_filter=Single; active=True
relationship,Employee,Employee.AgeGroupID->AgeGroup.AgeGroupID,Tabular,LOOKML_JOIN,SIMPLE,,cardinality=M:1; cross_filter=Single; active=True
relationship,Employee,Employee.TermReason->SeparationReason.SeparationTypeID,Tabular,LOOKML_JOIN,SIMPLE,,cardinality=M:1; cross_filter=Single; active=True
power_query,BU,BU,M,WAREHOUSE_SQL,MODERATE,"Renamed Columns,Changed Type,Renamed Columns,Changed Type","source_type=sql_database; tags=sql_database,query_reference"
power_query,FP,FP,M,WAREHOUSE_SQL,MODERATE,"Renamed Columns,Changed Type,Renamed Columns,Changed Type","source_type=sql_database; tags=sql_database,query_reference"
power_query,PayType,PayType,M,WAREHOUSE_SQL,MODERATE,"Renamed Columns,Changed Type,Renamed Columns,Changed Type","source_type=sql_database; tags=sql_database,query_reference"
power_query,SeparationReason,SeparationReason,M,WAREHOUSE_SQL,MODERATE,"Renamed Columns,Changed Type,Renamed Columns,Changed Type","source_type=sql_database; tags=sql_database,query_reference"
power_query,Date,Date,M,WAREHOUSE_SQL,MODERATE,"Renamed Columns,Changed Type,Renamed Columns,Changed Type","source_type=sql_database; tags=sql_database,query_reference"
power_query,Employee,Employee,M,WAREHOUSE_SQL,COMPLEX,"Renamed Columns,Changed Type,Renamed Columns,Changed Type","source_type=sql_database; tags=sql_database,append_union,query_reference,transformation_heavy"
power_query,Ethnicity,Ethnicity,M,WAREHOUSE_SEED,MODERATE,"Renamed Columns,Changed Type,Renamed Columns,Changed Type","source_type=embedded_static; tags=embedded_seed,query_reference"
power_query,Gender,Gender,M,WAREHOUSE_SEED,MODERATE,"Renamed Columns,Changed Type,Renamed Columns,Changed Type","source_type=embedded_static; tags=embedded_seed,query_reference"
power_query,AgeGroup,AgeGroup,M,WAREHOUSE_SEED,MODERATE,"Renamed Columns,Changed Type,Renamed Columns,Changed Type","source_type=embedded_static; tags=embedded_seed,query_reference"
tmschema,,rls,TM,NONE_IN_SOURCE,SIMPLE,,Confirmed empty in PBIX
tmschema,,ols,TM,NONE_IN_SOURCE,SIMPLE,,Confirmed empty in PBIX
tmschema,,perspectives,TM,NONE_IN_SOURCE,SIMPLE,,Confirmed empty in PBIX
tmschema,,role_memberships,TM,NONE_IN_SOURCE,SIMPLE,,Confirmed empty in PBIX
tmschema,,column_permissions,TM,NONE_IN_SOURCE,SIMPLE,,Confirmed empty in PBIX
hierarchy,Date,YQM,TM,LOOKML_VIEW_DIM,SIMPLE,,levels=3
hierarchy,DateTableTemplate_92fd358c-bb4c-4d52-9f5b-e9a59dc2315d,Date Hierarchy,TM,SKIP_PBI_INTERNAL,SIMPLE,,levels=4
hierarchy,LocalDateTable_6f19fed3-1fc0-4f7a-878d-34aca93d6782,Date Hierarchy,TM,SKIP_PBI_INTERNAL,SIMPLE,,levels=4
hierarchy,LocalDateTable_d2ea5b26-668d-4c17-b228-695669b066a6,Date Hierarchy,TM,SKIP_PBI_INTERNAL,SIMPLE,,levels=4
hierarchy,LocalDateTable_c9dde99e-7ac1-4e8e-a5f2-c5ffc41d9cac,Date Hierarchy,TM,SKIP_PBI_INTERNAL,SIMPLE,,levels=4
hierarchy,LocalDateTable_cc28ef26-f63a-4bc3-b357-93ab34cd6d9b,Date Hierarchy,TM,SKIP_PBI_INTERNAL,SIMPLE,,levels=4
hierarchy,LocalDateTable_c04ce649-6e25-466f-9bbc-faabfec0fe29,Date Hierarchy,TM,SKIP_PBI_INTERNAL,SIMPLE,,levels=4
